"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"LED_RGB","desc","D4,","LED_RGB_5050-6","libref","6","1","","",
"240R","desc","R4,R5,","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","libref","2","2","","",
"470R","desc","R6,R7,R8,","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","libref","2","3","","",
"SW_1571527-1","desc","S1,S2,","SW-Push-Tur","libref","4","2","","",
"LM2596S","desc","U1,","LM2596S-DC-DC-25-5V","libref","4","1","","",
"100nf","desc","C1,C2,","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","libref","2","2","","",
"LED","desc","D1,D2,D3,","LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","libref","2","3","","",
"240R","desc","R1,R2,R3,","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","libref","2","3","","",
"Fuse_Small","desc","FU1,","Fuse_1206_3216Metric_Castellated","libref","2","1","","",
"Through Hole Items ",
"Hader-1*4","desc","H1,","PinHeader_1x04_P2.54mm_Horizontal","libref","4","1","","",
"XT60PW-M","desc","J1,","AMASS_XT60PW-M","libref","4","1","","",
"S8050","desc","Q1,","TO-92_Inline","libref","3","1","","",
"maix_dock","desc","MAIN1,","MAIX_DOCK","libref","59","1","","",
