"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"D4","LED_RGB_5050-6","51.308mm","49.022mm","51.308mm","49.022mm","53.708mm","47.322mm","T","180","LED_RGB",
"R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","36.576mm","51.054mm","36.576mm","51.054mm","35.576mm","51.054mm","T","0","240R",
"R5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","36.576mm","49.022mm","36.576mm","49.022mm","35.576mm","49.022mm","T","0","240R",
"R6","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","58.42mm","51.054mm","58.42mm","51.054mm","57.42mm","51.054mm","T","0","470R",
"R7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","58.42mm","46.99mm","58.42mm","46.99mm","57.42mm","46.99mm","T","0","470R",
"R8","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","58.42mm","49.022mm","58.42mm","49.022mm","57.42mm","49.022mm","T","0","470R",
"S1","SW-Push-Tur","27.432mm","27.432mm","27.432mm","27.432mm","29.682mm","31.982mm","T","270","SW_1571527-1",
"S2","SW-Push-Tur","40.132mm","27.432mm","40.132mm","27.432mm","37.882mm","22.882mm","T","90","SW_1571527-1",
"U1","LM2596S-DC-DC-25-5V","23.876mm","0.254mm","23.876mm","0.254mm","2.137mm","1.979mm","T","90","LM2596S",
"C1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","27.686mm","27.432mm","27.686mm","27.432mm","26.6485mm","27.432mm","B","0","100nf",
"C2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","39.878mm","27.432mm","39.878mm","27.432mm","40.9155mm","27.432mm","B","180","100nf",
"D1","LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","11.684mm","17.272mm","11.684mm","17.272mm","13.1715mm","17.272mm","B","180","LED",
"D2","LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","11.684mm","30.226mm","11.684mm","30.226mm","13.1715mm","30.226mm","B","180","LED",
"D3","LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","11.6475mm","41.402mm","11.6475mm","41.402mm","13.135mm","41.402mm","B","180","LED",
"R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","7.112mm","17.272mm","7.112mm","17.272mm","8.112mm","17.272mm","B","180","240R",
"R2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","7.112mm","30.226mm","7.112mm","30.226mm","8.112mm","30.226mm","B","180","240R",
"R3","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","7.112mm","41.402mm","7.112mm","41.402mm","8.112mm","41.402mm","B","180","240R",
"FU1","Fuse_1206_3216Metric_Castellated","3.556mm","45.72mm","3.556mm","45.72mm","3.556mm","47.145mm","B","270","Fuse_Small",
"Through Hole Items ",
"H1","PinHeader_1x04_P2.54mm_Horizontal","68.58mm","5.08mm","68.58mm","5.08mm","68.58mm","5.08mm","T","270","Hader-1*4",
"J1","AMASS_XT60PW-M","38.1mm","2.286mm","38.1mm","2.286mm","41.7mm","8.286mm","T","180","XT60PW-M",
"Q1","TO-92_Inline","30.48mm","50.546mm","30.48mm","50.546mm","30.48mm","50.546mm","T","270","S8050",
"MAIN1","MAIX_DOCK","49.590001mm","24.069999mm","49.590001mm","24.069999mm","34.299201mm","14.585639mm","B","0","maix_dock",
